PairIndex,Drug1,Drug2,Conc1,Conc2,Response,ConcUnit
1,17-DMAG,KPT-330,0,100,35.7154392764858,nM
1,17-DMAG,KPT-330,0,100,34.6333979328165,nM
1,17-DMAG,KPT-330,0,100,30.3698320413437,nM
1,17-DMAG,KPT-330,0,100,37.0881782945736,nM
1,17-DMAG,KPT-330,0,100,25.8317183462532,nM
1,17-DMAG,KPT-330,0,100,34.8917958656331,nM
1,17-DMAG,KPT-330,0,100,28.5771963824289,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,0,10.0685135537682,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,0,0,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,10,0,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,10,0,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,19.9526231496888,7.53811624487269,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,19.9526231496888,24.9671078089931,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,30.1995172040202,13.1253860407659,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,30.1995172040202,6.33106856084003,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,54.9540873857625,24.4262932711007,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,54.9540873857625,20.2255931544146,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,100,41.3823411905713,nM
1,17-DMAG,KPT-330,3.01995172040202e-002,100,29.8122253296045,nM
1,17-DMAG,KPT-330,0.1,0,0,nM
1,17-DMAG,KPT-330,0.1,0,1.68305034256777,nM
1,17-DMAG,KPT-330,0.1,10,9.03444381705251,nM
1,17-DMAG,KPT-330,0.1,10,0,nM
1,17-DMAG,KPT-330,0.1,19.9526231496888,11.8257100843588,nM
1,17-DMAG,KPT-330,0.1,19.9526231496888,14.7047442148441,nM
1,17-DMAG,KPT-330,0.1,30.1995172040202,15.2872143298332,nM
1,17-DMAG,KPT-330,0.1,30.1995172040202,17.0475602223595,nM
1,17-DMAG,KPT-330,0.1,54.9540873857625,23.6795021392454,nM
