PairIndex,Drug1,Drug2,Conc1,Conc2,Response,ConcUnit
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0.492940603700097,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0.395569620253165,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,19.9526231496888,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,4.25558159615147,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0.715431108918219,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,5.66177377574935,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,1.7956545160711e-002,nM
1,17-DMAG,KPT-330,0,30.1995172040202,4.37541150415993,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
1,17-DMAG,KPT-330,0,30.1995172040202,0,nM
